snap	cyc	st	sub	waddr	tok_sets	pos_sets	other_sets	after_emb_sets	rg_switches	notes
CTX_LOAD	0	0	0	0	0	0	0	0	0	ntok=8
ENTER_EMB	1	1	1	0	1	0	0	0	0	first TOK set CONTROL
POS_SET1024	5118	1	3	132095	1024	1024	0	0	2047	CONTROL OSC_2ND
LEAVE_EMB	5120	2	0	132095	1024	1024	0	0	2047	st=ST_LN_S leave_emb=1
AFTER_SET1	62444	6	—	147456	1024	1024	1	1	2048	first OTHER OFF_L0 ST_MV
AFTER_SET1e6	4225477	6	—	262719	1024	1024	1000000	1000000	2048	ly=0
HEAD	17676844	6	—	671744	1024	1024	—	—	2048	OFF_HEAD ten_o=7
CORE_DONE	18205209	0	—	802815	1024	1024	4325376	4325376	2048	done=1 CLASS=FWD_HEAVY
