control_group_key	owner	mode	rw_a	member_count	members
u_a|SDP|rw72|CLK={u_a/ui_clk}|ADRA_HASH=8	u_a	SDP	72	2	u_a/mem_reg_0,u_a/mem_reg_1
u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	u_a	TDP	1	64	u_core/u_a/mem_reg_0_0,u_core/u_a/mem_reg_0_1,u_core/u_a/mem_reg_0_10,u_core/u_a/mem_reg_0_11,u_core/u_a/mem_reg_0_12,u_core/u_a/mem_reg_0_13,u_core/u_a/mem_reg_0_14,u_core/u_a/mem_reg_0_15,u_core/u_a/mem_reg_0_2,u_core/u_a/mem_reg_0_3,u_core/u_a/mem_reg_0_4,u_core/u_a/mem_reg_0_5,u_core/u_a/mem_reg_0_6,u_core/u_a/mem_reg_0_7,u_core/u_a/mem_reg_0_8,u_core/u_a/mem_reg_0_9,u_core/u_a/mem_reg_1_0,u_core/u_a/mem_reg_1_1,u_core/u_a/mem_reg_1_10,u_core/u_a/mem_reg_1_11,u_core/u_a/mem_reg_1_12,u_core/u_a/mem_reg_1_13,u_core/u_a/mem_reg_1_14,u_core/u_a/mem_reg_1_15,u_core/u_a/mem_reg_1_2,u_core/u_a/mem_reg_1_3,u_core/u_a/mem_reg_1_4,u_core/u_a/mem_reg_1_5,u_core/u_a/mem_reg_1_6,u_core/u_a/mem_reg_1_7,u_core/u_a/mem_reg_1_8,u_core/u_a/mem_reg_1_9,u_core/u_a/mem_reg_2_0,u_core/u_a/mem_reg_2_1,u_core/u_a/mem_reg_2_10,u_core/u_a/mem_reg_2_11,u_core/u_a/mem_reg_2_12,u_core/u_a/mem_reg_2_13,u_core/u_a/mem_reg_2_14,u_core/u_a/mem_reg_2_15,u_core/u_a/mem_reg_2_2,u_core/u_a/mem_reg_2_3,u_core/u_a/mem_reg_2_4,u_core/u_a/mem_reg_2_5,u_core/u_a/mem_reg_2_6,u_core/u_a/mem_reg_2_7,u_core/u_a/mem_reg_2_8,u_core/u_a/mem_reg_2_9,u_core/u_a/mem_reg_3_0,u_core/u_a/mem_reg_3_1,u_core/u_a/mem_reg_3_10,u_core/u_a/mem_reg_3_11,u_core/u_a/mem_reg_3_12,u_core/u_a/mem_reg_3_13,u_core/u_a/mem_reg_3_14,u_core/u_a/mem_reg_3_15,u_core/u_a/mem_reg_3_2,u_core/u_a/mem_reg_3_3,u_core/u_a/mem_reg_3_4,u_core/u_a/mem_reg_3_5,u_core/u_a/mem_reg_3_6,u_core/u_a/mem_reg_3_7,u_core/u_a/mem_reg_3_8,u_core/u_a/mem_reg_3_9
u_snap|TDP|rw9|CLK={u_core/u_snap/clk50}|ADRA_HASH=12	u_snap	TDP	9	2	u_core/u_snap/mem_reg_0,u_core/u_snap/mem_reg_1
u_w|SDP|rw72|CLK={u_w/ui_clk}|ADRA_HASH=8	u_w	SDP	72	32	u_w/CH[0].ram0_reg_0,u_w/CH[0].ram0_reg_1,u_w/CH[0].ram1_reg_0,u_w/CH[0].ram1_reg_1,u_w/CH[1].ram0_reg_0,u_w/CH[1].ram0_reg_1,u_w/CH[1].ram1_reg_0,u_w/CH[1].ram1_reg_1,u_w/CH[2].ram0_reg_0,u_w/CH[2].ram0_reg_1,u_w/CH[2].ram1_reg_0,u_w/CH[2].ram1_reg_1,u_w/CH[3].ram0_reg_0,u_w/CH[3].ram0_reg_1,u_w/CH[3].ram1_reg_0,u_w/CH[3].ram1_reg_1,u_w/CH[4].ram0_reg_0,u_w/CH[4].ram0_reg_1,u_w/CH[4].ram1_reg_0,u_w/CH[4].ram1_reg_1,u_w/CH[5].ram0_reg_0,u_w/CH[5].ram0_reg_1,u_w/CH[5].ram1_reg_0,u_w/CH[5].ram1_reg_1,u_w/CH[6].ram0_reg_0,u_w/CH[6].ram0_reg_1,u_w/CH[6].ram1_reg_0,u_w/CH[6].ram1_reg_1,u_w/CH[7].ram0_reg_0,u_w/CH[7].ram0_reg_1,u_w/CH[7].ram1_reg_0,u_w/CH[7].ram1_reg_1
u_w|TDP|rw1|CLK={u_core/u_w/TILE.u_bank/clk50}|ADRA_HASH=16	u_w	TDP	1	32	u_core/u_w/TILE.u_bank/mem_reg_0_0,u_core/u_w/TILE.u_bank/mem_reg_0_1,u_core/u_w/TILE.u_bank/mem_reg_0_2,u_core/u_w/TILE.u_bank/mem_reg_0_3,u_core/u_w/TILE.u_bank/mem_reg_0_4,u_core/u_w/TILE.u_bank/mem_reg_0_5,u_core/u_w/TILE.u_bank/mem_reg_0_6,u_core/u_w/TILE.u_bank/mem_reg_0_7,u_core/u_w/TILE.u_bank/mem_reg_1_0,u_core/u_w/TILE.u_bank/mem_reg_1_1,u_core/u_w/TILE.u_bank/mem_reg_1_2,u_core/u_w/TILE.u_bank/mem_reg_1_3,u_core/u_w/TILE.u_bank/mem_reg_1_4,u_core/u_w/TILE.u_bank/mem_reg_1_5,u_core/u_w/TILE.u_bank/mem_reg_1_6,u_core/u_w/TILE.u_bank/mem_reg_1_7,u_core/u_w/TILE.u_bank/mem_reg_2_0,u_core/u_w/TILE.u_bank/mem_reg_2_1,u_core/u_w/TILE.u_bank/mem_reg_2_2,u_core/u_w/TILE.u_bank/mem_reg_2_3,u_core/u_w/TILE.u_bank/mem_reg_2_4,u_core/u_w/TILE.u_bank/mem_reg_2_5,u_core/u_w/TILE.u_bank/mem_reg_2_6,u_core/u_w/TILE.u_bank/mem_reg_2_7,u_core/u_w/TILE.u_bank/mem_reg_3_0,u_core/u_w/TILE.u_bank/mem_reg_3_1,u_core/u_w/TILE.u_bank/mem_reg_3_2,u_core/u_w/TILE.u_bank/mem_reg_3_3,u_core/u_w/TILE.u_bank/mem_reg_3_4,u_core/u_w/TILE.u_bank/mem_reg_3_5,u_core/u_w/TILE.u_bank/mem_reg_3_6,u_core/u_w/TILE.u_bank/mem_reg_3_7
