hier_cell	owner	ref	ram_mode	READ_WIDTH_A	READ_WIDTH_B	WRITE_WIDTH_A	WRITE_WIDTH_B	DOA_REG	DOB_REG	EN_ECC_READ	EN_ECC_WRITE	clk_nets	addr_a_sig_count	addr_b_sig_count	en_nets	we_sig_count	di_signal_count	do_signal_count	dip_signal	dip_const	dip_unconnected	dop_signal	dop_const	dop_unconnected	dip_nets_summary	dop_nets_summary	control_group_key	class_hint	classification	tags
u_core/u_a/mem_reg_0_2	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_3	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_4	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_5	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_6	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_7	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_8	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_0_9	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	0	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_1_0	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	2	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_1_1	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	2	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_1_10	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	2	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_1_11	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	2	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_1_12	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	2	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
u_core/u_a/mem_reg_1_13	u_a	RAMB36E1	TDP	1	1	1	1	0	0	0	0	u_core/u_a/clk50	16	16	u_core/u_a/mem_reg_3_7_0	1	1	2	0	6	2	0	0	8	C:DIPADIP[3],C:DIPADIP[2],C:DIPADIP[1],C:DIPBDIP[3],C:DIPBDIP[2],C:DIPBDIP[1]		u_a|TDP|rw1|CLK={u_core/u_a/clk50}|ADRA_HASH=16	BIT_SLICED_PORT_BOUND	BIT_SLICED_PORT_BOUND	PARITY_UNUSED_NO_TILE_GAIN
