1	0	0	0	0	62	8
2	0	0	0	1	104	333
3	0	0	1	0	96	48
4	0	0	1	1	2256	189
5	0	0	2	0	99	23
6	0	0	2	1	2432	156
7	0	0	3	0	102	4
8	0	0	3	1	2609	95
9	0	1	0	0	82	105
10	0	1	0	1	1441	199
11	0	1	1	0	1433	38
12	0	1	1	1	4024	15
13	0	1	2	0	1436	42
14	0	1	2	1	3987	12
15	0	1	3	0	1439	22
16	0	1	3	1	3935	7
17	0	2	0	0	45	29
18	0	2	0	1	1616	57
19	0	2	1	0	1608	15
20	0	2	1	1	4500	7
21	0	2	2	0	1611	13
22	0	2	2	1	3689	5
23	0	2	3	0	1614	7
24	0	2	3	1	47	8
25	0	3	0	0	50	49
26	0	3	0	1	48	115
27	0	3	1	0	1667	19
28	0	3	1	1	3885	12
29	0	3	2	0	1670	26
30	0	3	2	1	3781	13
31	0	3	3	0	49	10
32	0	3	3	1	3989	5
33	0	4	0	0	88	45
34	0	4	0	1	1790	178
35	0	4	1	0	51	34
36	0	4	1	1	3930	9
37	0	4	2	0	1785	28
38	0	4	2	1	3829	16
39	0	4	3	0	1788	20
40	0	4	3	1	3793	12
41	0	5	0	0	91	24
42	0	5	0	1	1965	162
43	0	5	1	0	1957	28
44	0	5	1	1	3748	14
45	0	5	2	0	1960	22
46	0	5	2	1	3742	12
47	0	5	3	0	1963	16
48	0	5	3	1	3775	18
49	0	6	0	0	94	4
50	0	6	0	1	2139	96
51	0	6	1	0	2131	14
52	0	6	1	1	5123	10
53	0	6	2	0	2134	13
54	0	6	2	1	4104	13
55	0	6	3	0	2137	8
56	0	6	3	1	3739	4
57	1	0	0	0	0	71
58	1	0	0	1	1	79
59	1	0	1	0	154	19
60	1	0	1	1	4237	5
61	1	0	2	0	2	13
62	1	0	2	1	4484	3
63	1	0	3	0	158	10
64	1	0	3	1	5115	4
65	1	1	0	0	42	19
66	1	1	0	1	3915	7
67	1	1	1	0	4251	1
68	1	2	0	0	60	8
69	1	2	0	1	4182	3
70	1	2	2	0	7551	1
71	1	2	3	0	4289	1
72	1	3	0	0	144	14
73	1	3	0	1	3917	7
74	1	3	1	0	6217	1
75	1	3	2	0	3717	2
76	1	4	0	0	146	13
77	1	4	0	1	4269	6
78	1	4	2	0	7209	1
79	1	4	3	0	3817	2
80	1	5	0	0	149	11
81	1	5	0	1	4176	4
82	1	5	1	0	5413	1
83	1	6	0	0	61	12
84	1	6	0	1	5012	4
85	1	6	2	0	5609	1
86	2	0	0	0	4	124
87	2	0	0	1	6	176
88	2	0	1	0	7	30
89	2	0	1	1	3945	14
90	2	0	2	0	5	27
91	2	0	2	1	4236	13
92	2	0	3	0	215	22
93	2	0	3	1	3716	5
94	2	1	0	0	196	35
95	2	1	0	1	3860	8
96	2	1	1	0	4616	1
97	2	1	2	0	4395	2
98	2	1	3	0	4530	2
99	2	2	0	0	199	8
100	2	2	0	1	3905	1
101	2	2	3	0	6777	1
102	2	3	0	0	200	19
103	2	3	0	1	4231	6
104	2	3	1	0	4208	2
105	2	3	2	0	5795	2
106	2	4	0	0	202	29
107	2	4	0	1	3854	10
108	2	4	2	0	5119	2
109	2	4	3	0	4667	2
110	2	5	0	0	205	34
111	2	5	0	1	3865	13
112	2	5	1	0	5479	1
113	2	5	2	0	5134	4
114	2	5	3	0	6323	2
115	2	6	0	0	208	15
116	2	6	0	1	4228	5
117	2	6	1	0	5991	2
118	2	6	2	0	4743	2
119	3	0	0	0	8	106
120	3	0	0	1	11	160
121	3	0	1	0	9	35
122	3	0	1	1	3842	14
123	3	0	2	0	328	23
124	3	0	2	1	4470	7
125	3	0	3	0	331	22
